Fullname;Birthday;PhoneNumber;;;;;ClientId;PhoneNumber;75;106;1;3
Олег Александров;24.01.1960;(934)236-53-46;;;;;4;(934)236-53-46;76;201;2;1
Оксана Андреева;26.06.1948;(935)444-36-41;;;;;5;(935)444-36-41;77;102;1;1
Вера Антонова;28.02.1943;(985)471-81-28;;;;;6;(985)471-81-28;78;208;2;4
Алла Архипова;19.07.1986;(957)210-05-38;;;;;7;(957)210-05-38;79;203;2;1
Матвей Баранов;01.10.1991;(941)318-66-06;;;;;8;(941)318-66-06;80;307;2;5
Варвара Белякова;02.08.1937;(997)762-97-74;;;;;9;(997)762-97-74;81;205;3;4
Фёдор Беспалов;08.03.1937;(933)808-85-28;;;;;10;(933)808-85-28;82;304;2;3
Степан Блохин;28.04.1959;(993)324-03-88;;;;;11;(993)324-03-88;83;107;3;2
Марина Блохина;03.11.1955;(985)818-56-77;;;;;12;(985)818-56-77;84;101;2;1
Ярослав Бобров;31.01.1994;(987)151-47-98;;;;;13;(987)151-47-98;85;202;1;1
Светлана Бобылева;14.11.1991;(942)835-26-50;;;;;14;(942)835-26-50;86;210;1;5
Геннадий Борисов;05.06.1948;(930)594-44-00;;;;;15;(930)594-44-00;87;309;2;2
Виталий Веселов;11.10.1930;(997)819-96-69;;;;;16;(997)819-96-69;88;310;2;2
Регина Виноградова;22.08.1981;(967)504-69-65;;;;;17;(967)504-69-65;89;108;2;1
Клавдия Вишнякова;17.11.1948;(960)050-07-17;;;;;18;(960)050-07-17;90;104;3;1
Тамара Волкова;31.03.1930;(963)785-97-00;;;;;19;(963)785-97-00;91;103;2;1
Герман Галкин;17.03.1974;(909)737-83-76;;;;;20;(909)737-83-76;92;209;3;3
Ксения Герасимова;13.06.1930;(921)372-66-11;;;;;21;(921)372-66-11;93;204;3;1
Ярослав Горшков;10.03.1986;(905)374-39-37;;;;;22;(905)374-39-37;94;302;1;5
Тамара Горшкова;19.11.1997;(907)010-81-43;;;;;23;(907)010-81-43;95;305;1;3
Василий Гурьев;20.02.1975;(958)897-07-34;;;;;24;(958)897-07-34;96;301;1;4
Вероника Гурьева;17.08.1977;(924)179-06-31;;;;;25;(924)179-06-31;97;105;1;5
Жанна Гурьева;07.04.1975;(931)971-70-62;;;;;26;(931)971-70-62;98;206;1;5
Дмитрий Доронин;22.03.1987;(925)768-56-34;;;;;27;(925)768-56-34;99;109;1;3
Татьяна Дроздова;10.02.1986;(902)936-77-80;;;;;28;(902)936-77-80;100;306;1;3
Вячеслав Евсеев;27.07.1984;(910)640-67-93;;;;;29;(910)640-67-93;101;303;2;2
Лука Евсеев;28.03.1964;(949)040-34-05;;;;;30;(949)040-34-05;102;110;2;2
Евгения Егорова;19.01.1958;(980)761-95-39;;;;;31;(980)761-95-39;103;207;1;2
Ангелина Егорова;11.12.1967;(953)955-81-31;;;;;32;(953)955-81-31;104;308;1;5
Антонина Емельянова;05.05.1988;(983)819-89-22;;;;;33;(983)819-89-22;;;;
Вячеслав Ершов;22.04.1954;(907)643-29-25;;;;;34;(907)643-29-25;;;;
Игорь Ефимов;21.11.1949;(907)903-41-38;;;;;35;(907)903-41-38;;;;
Эдуард Ефремов;07.12.1956;(947)686-79-23;;;;;36;(947)686-79-23;;;;
Артём Жуков;06.12.1990;(928)068-80-33;;;;;37;(928)068-80-33;;;;
Лидия Журавлева;25.12.1941;(971)921-61-14;;;;;38;(971)921-61-14;;;;
Юлия Зыкова;26.01.1952;(972)357-06-47;;;;;39;(972)357-06-47;;;;
Алла Зыкова;25.01.1935;(947)092-83-44;;;;;40;(947)092-83-44;;;;
Вадим Иванов;26.04.1966;(912)490-78-32;;;;;41;(912)490-78-32;;;;
Никита Иванов;15.03.1971;(959)343-77-65;;;;;42;(959)343-77-65;;;;
Арина Исаева;21.12.1990;(931)037-14-00;;;;;43;(931)037-14-00;;;;
Антонида Казакова;10.05.1955;(966)011-51-72;;;;;44;(966)011-51-72;;;;
Денис Калашников;06.05.1944;(901)817-79-35;;;;;45;(901)817-79-35;;;;
Леонид Капустин;10.07.1958;(970)593-48-41;;;;;46;(970)593-48-41;;;;
Виталий Колобов;04.10.1985;(993)198-51-24;;;;;47;(993)198-51-24;;;;
Зинаида Колобова;19.08.1967;(928)134-48-41;;;;;48;(928)134-48-41;;;;
Фёдор Комаров;13.05.1998;(990)884-10-51;;;;;49;(990)884-10-51;;;;
Жанна Комиссарова;20.08.1948;(974)131-66-87;;;;;50;(974)131-66-87;;;;
Регина Коновалова;08.12.1985;(955)995-08-05;;;;;51;(955)995-08-05;;;;
Елизавета Костина;30.04.1949;(908)135-49-96;;;;;52;(908)135-49-96;;;;
Арина Красильникова;31.01.1985;(935)909-00-86;;;;;53;(935)909-00-86;;;;
Юлия Кудрявцева;30.06.1933;(901)906-43-02;;;;;54;(901)906-43-02;;;;
Раиса Ларионова;21.10.1944;(978)017-59-25;;;;;55;(978)017-59-25;;;;
Кира Ларионова;08.07.1996;(938)946-72-40;;;;;56;(938)946-72-40;;;;
Андрей Лихачев;23.10.1948;(983)135-34-00;;;;;57;(983)135-34-00;;;;
Раиса Лихачева;30.09.1995;(947)874-22-26;;;;;58;(947)874-22-26;;;;
Тамара Лобанова;25.12.1936;(908)302-40-58;;;;;59;(908)302-40-58;;;;
Алевтина Лукина;07.01.1993;(948)168-23-41;;;;;60;(948)168-23-41;;;;
Алла Лыткина;06.05.1932;(900)044-23-07;;;;;61;(900)044-23-07;;;;
Евгения Мартынова;02.04.1956;(994)780-48-71;;;;;62;(994)780-48-71;;;;
Егор Маслов;23.03.1990;(980)620-12-44;;;;;63;(980)620-12-44;;;;
Юлия Маслова;23.04.1973;(932)880-25-18;;;;;64;(932)880-25-18;;;;
Наталья Михеева;23.11.1982;(964)690-54-81;;;;;65;(964)690-54-81;;;;
Зинаида Михеева;12.04.1954;(989)109-75-01;;;;;66;(989)109-75-01;;;;
Алина Мухина;27.05.1933;(954)380-49-32;;;;;67;(954)380-49-32;;;;
Семён Назаров;01.07.1949;(933)796-72-87;;;;;68;(933)796-72-87;;;;
Нина Никитина;15.01.1953;(952)946-42-06;;;;;69;(952)946-42-06;;;;
Евгений Никифоров;19.08.1954;(985)736-19-00;;;;;70;(985)736-19-00;;;;
Алевтина Никифорова;20.08.1998;(930)227-88-15;;;;;71;(930)227-88-15;;;;
Анжела Осипова;19.09.1945;(948)906-98-67;;;;;72;(948)906-98-67;;;;
Ксения Павлова;21.10.1943;(989)087-30-40;;;;;73;(989)087-30-40;;;;
Вячеслав Пахомов;17.05.1942;(990)784-55-05;;;;;74;(990)784-55-05;;;;
Татьяна Петрова;20.03.1953;(951)858-44-33;;;;;75;(951)858-44-33;;;;
Варвара Полякова;17.11.1967;(984)010-90-14;;;;;76;(984)010-90-14;;;;
Лидия Пономарева;01.06.1974;(923)040-25-64;;;;;77;(923)040-25-64;;;;
Алина Пономарева;27.07.1996;(964)133-82-90;;;;;78;(964)133-82-90;;;;
Нина Рогова;15.11.1977;(959)345-73-99;;;;;79;(959)345-73-99;;;;
Вера Рогова;04.07.1980;(957)310-67-54;;;;;80;(957)310-67-54;;;;
Алина Родионова;27.03.1967;(930)285-83-22;;;;;81;(930)285-83-22;;;;
Владислав Рожков;14.11.1941;(966)076-77-46;;;;;82;(966)076-77-46;;;;
Нина Селиверстова;15.01.1983;(936)395-42-43;;;;;83;(936)395-42-43;;;;
Сергей Сергеев;24.11.1948;(950)438-54-46;;;;;84;(950)438-54-46;;;;
Вера Сергеева;16.09.1968;(998)452-13-25;;;;;85;(998)452-13-25;;;;
Юлия Соболева;25.05.1939;(997)024-03-52;;;;;86;(997)024-03-52;;;;
Ольга Сорокина;14.09.1962;(973)632-70-13;;;;;87;(973)632-70-13;;;;
Алла Стрелкова;12.09.1964;(985)818-44-59;;;;;88;(985)818-44-59;;;;
Семён Сысоев;04.03.1941;(926)855-14-84;;;;;89;(926)855-14-84;;;;
Валентин Тарасов;30.06.1945;(947)100-32-54;;;;;90;(947)100-32-54;;;;
Галина Тимофеева;17.04.1987;(976)419-34-25;;;;;91;(976)419-34-25;;;;
Алексей Тихонов;02.07.1968;(943)296-70-04;;;;;92;(943)296-70-04;;;;
Ярослав Федотов;07.02.1999;(974)675-05-08;;;;;93;(974)675-05-08;;;;
Любовь Федотова;24.08.1937;(950)822-06-90;;;;;94;(950)822-06-90;;;;
Георгий Фомичев;07.10.1942;(922)990-68-91;;;;;95;(922)990-68-91;;;;
Мария Фролова;17.12.1981;(905)977-37-98;;;;;96;(905)977-37-98;;;;
Аркадий Харитонов;24.07.1996;(913)946-30-40;;;;;97;(913)946-30-40;;;;
Татьяна Цветкова;21.02.1979;(941)180-85-25;;;;;98;(941)180-85-25;;;;
Герман Чернов;15.05.1948;(927)274-16-16;;;;;99;(927)274-16-16;;;;
Денис Шилов;11.02.1947;(909)989-23-78;;;;;100;(909)989-23-78;;;;
Виталий Щукин;14.03.1963;(973)633-80-14;;;;;101;(973)633-80-14;;;;
Таисия Щукина;30.03.1984;(903)426-95-28;;;;;102;(903)426-95-28;;;;
Матвей Юдин;11.10.1963;(981)893-64-55;;;;;103;(981)893-64-55;;;;
